data,valor
1995-01-01,104.1
1995-02-01,89.2
1995-03-01,196.1
1995-04-01,164.7
1995-05-01,226.2
1995-06-01,185.6
1995-07-01,192.2
1995-08-01,181.2
1995-09-01,178.9
1995-10-01,161.4
1995-11-01,154.4
1995-12-01,144.4
1996-01-01,135.4
1996-02-01,85.0
1996-03-01,130.9
1996-04-01,131.7
1996-05-01,144.8
1996-06-01,97.1
1996-07-01,376.4
1996-08-01,174.5
1996-09-01,176.9
1996-10-01,180.2
1996-11-01,140.7
1996-12-01,167.6
1997-01-01,148.9
1997-02-01,107.1
1997-03-01,134.8
1997-04-01,168.5
1997-05-01,162.9
1997-06-01,145.9
1997-07-01,376.6
1997-08-01,195.1
1997-09-01,206.1
1997-10-01,206.7
1997-11-01,159.2
1997-12-01,197.0
1998-01-01,153.1
1998-02-01,141.0
1998-03-01,181.5
1998-04-01,156.2
1998-05-01,169.6
1998-06-01,174.0
1998-07-01,198.5
1998-08-01,183.3
1998-09-01,186.6
1998-10-01,189.9
1998-11-01,166.1
1998-12-01,180.5
1999-01-01,150.0
1999-02-01,128.3
1999-03-01,165.6
1999-04-01,162.5
1999-05-01,186.1
1999-06-01,214.2
1999-07-01,193.8
1999-08-01,205.8
1999-09-01,202.2
1999-10-01,214.2
1999-11-01,224.5
1999-12-01,218.6
2000-01-01,161.2
2000-02-01,178.3
2000-03-01,194.1
2000-04-01,176.0
2000-05-01,183.2
2000-06-01,172.1
2000-07-01,180.0
2000-08-01,201.3
2000-09-01,182.4
2000-10-01,187.4
2000-11-01,184.4
2000-12-01,180.1
2001-01-01,173.5
2001-02-01,142.6
2001-03-01,195.6
2001-04-01,163.6
2001-05-01,182.3
2001-06-01,167.5
2001-07-01,183.3
2001-08-01,191.6
2001-09-01,156.6
2001-10-01,175.1
2001-11-01,161.8
2001-12-01,143.5
2002-01-01,152.2
2002-02-01,109.5
2002-03-01,136.2
2002-04-01,136.2
2002-05-01,163.7
2002-06-01,117.9
2002-07-01,168.3
2002-08-01,155.3
2002-09-01,128.7
2002-10-01,149.3
2002-11-01,132.2
2002-12-01,134.9
2003-01-01,123.1
2003-02-01,109.9
2003-03-01,111.0
2003-04-01,115.4
2003-05-01,144.3
2003-06-01,126.7
2003-07-01,132.3
2003-08-01,129.0
2003-09-01,145.1
2003-10-01,164.0
2003-11-01,125.2
2003-12-01,128.4
2004-01-01,122.4
2004-02-01,118.0
2004-03-01,141.7
2004-04-01,175.3
2004-05-01,135.9
2004-06-01,181.2
2004-07-01,167.2
2004-08-01,179.1
2004-09-01,207.6
2004-10-01,175.0
2004-11-01,179.4
2004-12-01,178.3
2005-01-01,131.9
2005-02-01,110.7
2005-03-01,143.9
2005-04-01,147.0
2005-05-01,159.8
2005-06-01,143.3
