mes,dia,hora,altura
25-01,01 - Qua,03:57h,1.8m
25-01,01 - Qua,08:21h,0.4m
25-01,01 - Qua,11:55h,0.9m
25-01,01 - Qua,17:01h,1.5m
25-01,01 - Qua,21:47h,0.1m
25-01,02 - Qui,04:44h,1.8m
25-01,02 - Qui,09:02h,0.4m
25-01,02 - Qui,12:27h,1.0m
25-01,02 - Qui,14:23h,0.9m
25-01,02 - Qui,17:47h,1.4m
25-01,02 - Qui,22:21h,0.1m
25-01,03 - Sex,05:27h,1.8m
25-01,03 - Sex,09:42h,0.4m
25-01,03 - Sex,13:02h,1.1m
25-01,03 - Sex,15:16h,0.9m
25-01,03 - Sex,18:29h,1.4m
25-01,03 - Sex,23:01h,0.2m
25-01,04 - Sab,06:14h,1.7m
25-01,04 - Sab,10:12h,0.4m
25-01,04 - Sab,13:42h,1.2m
25-01,04 - Sab,16:08h,0.9m
25-01,04 - Sab,19:14h,1.3m
25-01,04 - Sab,23:36h,0.3m
25-01,05 - Dom,07:02h,1.5m
25-01,05 - Dom,10:55h,0.4m
25-01,05 - Dom,14:14h,1.2m
25-01,05 - Dom,17:02h,0.8m
25-01,05 - Dom,20:06h,1.3m
25-01,06 - Seg,00:16h,0.5m
25-01,06 - Seg,07:55h,1.4m
25-01,06 - Seg,11:31h,0.5m
25-01,06 - Seg,14:55h,1.2m
25-01,06 - Seg,17:51h,0.7m
25-01,06 - Seg,21:02h,1.3m
25-01,07 - Ter,01:10h,0.6m
25-01,07 - Ter,02:51h,0.7m
25-01,07 - Ter,04:59h,0.6m
25-01,07 - Ter,08:49h,1.3m
25-01,07 - Ter,12:12h,0.6m
25-01,07 - Ter,15:32h,1.1m
25-01,07 - Ter,18:29h,0.7m
25-01,07 - Ter,22:02h,1.3m
25-01,08 - Qua,06:04h,0.6m
25-01,08 - Qua,09:51h,1.2m
25-01,08 - Qua,13:06h,0.7m
25-01,08 - Qua,16:08h,1.0m
25-01,08 - Qua,19:08h,0.6m
25-01,08 - Qua,23:04h,1.4m
25-01,09 - Qui,07:08h,0.6m
25-01,09 - Qui,11:02h,1.1m
25-01,09 - Qui,14:25h,0.8m
25-01,09 - Qui,19:55h,0.5m
25-01,10 - Sex,00:06h,1.5m
25-01,10 - Sex,08:12h,0.6m
25-01,10 - Sex,12:12h,1.2m
25-01,10 - Sex,20:31h,0.4m
25-01,11 - Sab,01:06h,1.6m
25-01,11 - Sab,09:12h,0.6m
25-01,11 - Sab,13:12h,1.3m
25-01,11 - Sab,21:04h,0.4m
25-01,12 - Dom,02:02h,1.7m
25-01,12 - Dom,06:38h,0.7m
25-01,12 - Dom,14:04h,1.4m
25-01,12 - Dom,19:25h,0.3m
25-01,13 - Seg,02:51h,1.8m
25-01,13 - Seg,07:12h,0.6m
25-01,13 - Seg,10:57h,0.8m
25-01,13 - Seg,14:59h,1.4m
25-01,13 - Seg,19:55h,0.2m
25-01,14 - Ter,03:36h,1.8m
25-01,14 - Ter,07:55h,0.5m
25-01,14 - Ter,15:42h,1.4m
25-01,14 - Ter,20:21h,0.1m
25-01,15 - Qua,04:19h,1.8m
25-01,15 - Qua,08:31h,0.3m
25-01,15 - Qua,16:19h,1.4m
25-01,15 - Qua,20:59h,0.1m
25-01,16 - Qui,05:04h,1.8m
25-01,16 - Qui,09:08h,0.2m
25-01,16 - Qui,14:04h,1.2m
25-01,16 - Qui,16:59h,1.4m
25-01,16 - Qui,21:27h,0.1m
25-01,17 - Sex,05:49h,1.7m
25-01,17 - Sex,09:51h,0.1m
25-01,17 - Sex,14:04h,1.3m
25-01,17 - Sex,17:32h,1.4m
25-01,17 - Sex,22:02h,0.1m
25-01,18 - Sab,06:29h,1.5m
25-01,18 - Sab,10:23h,0.2m
25-01,18 - Sab,14:40h,1.3m
25-01,18 - Sab,22:38h,0.2m
25-01,19 - Dom,07:08h,1.4m
25-01,19 - Dom,11:02h,0.2m
25-01,19 - Dom,15:10h,1.3m
25-01,19 - Dom,17:01h,1.2m
25-01,19 - Dom,18:51h,1.3m
25-01,19 - Dom,23:10h,0.2m
25-01,20 - Seg,03:02h,1.0m
25-01,20 - Seg,04:57h,0.9m
25-01,20 - Seg,07:55h,1.2m
25-01,20 - Seg,11:38h,0.4m
25-01,20 - Seg,15:42h,1.2m
25-01,20 - Seg,17:19h,1.1m
25-01,20 - Seg,19:49h,1.2m
25-01,20 - Seg,23:53h,0.4m
25-01,21 - Ter,03:25h,1.0m
25-01,21 - Ter,05:59h,0.8m
25-01,21 - Ter,08:44h,1.1m
25-01,21 - Ter,12:12h,0.5m
25-01,21 - Ter,16:02h,1.1m
25-01,21 - Ter,17:53h,1.0m
25-01,21 - Ter,20:49h,1.2m
25-01,22 - Qua,00:29h,0.5m
25-01,22 - Qua,03:59h,1.0m
25-01,22 - Qua,06:51h,0.8m
25-01,22 - Qua,09:38h,1.0m
25-01,22 - Qua,13:01h,0.7m
25-01,22 - Qua,16:04h,0.9m
25-01,22 - Qua,18:06h,0.8m
25-01,22 - Qua,21:47h,1.3m
25-01,23 - Qui,01:14h,0.7m
25-01,23 - Qui,04:27h,1.0m
